# Inventory of signed certificates
# SERIAL NOT_BEFORE NOT_AFTER SUBJECT
0x0001 2012-03-07T03:15:27GMT 2017-03-06T03:15:27GMT /CN=Puppet CA: puppet
0x0002 2012-03-07T03:15:27GMT 2017-03-06T03:15:27GMT /CN=puppet
0x0003 2012-03-07T03:15:55GMT 2017-03-06T03:15:55GMT /CN=cdn-bj-ctc2-25
0x0004 2012-03-07T03:28:33GMT 2017-03-06T03:28:33GMT /CN=cdn-bj-ctc2-25
0x0005 2012-03-08T01:55:23GMT 2017-03-07T01:55:23GMT /CN=puppet.oss.letv.com
0x0006 2012-03-08T01:56:30GMT 2017-03-07T01:56:30GMT /CN=cdn-bj-ctc2-25
0x0007 2012-03-08T03:29:32GMT 2017-03-07T03:29:32GMT /CN=cdn-bj-cnc-36
0x0008 2012-03-08T03:29:34GMT 2017-03-07T03:29:34GMT /CN=cdn-sc-cd-ctc-24
0x0009 2012-03-08T03:29:35GMT 2017-03-07T03:29:35GMT /CN=cdn-bj-cnc-40
0x000a 2012-03-08T03:29:35GMT 2017-03-07T03:29:35GMT /CN=cdn-bj-cnc-40
0x000b 2012-03-08T03:29:35GMT 2017-03-07T03:29:35GMT /CN=cdn-gs-lz-ctc-12
0x000c 2012-03-08T03:29:35GMT 2017-03-07T03:29:35GMT /CN=cdn-gs-lz-ctc-12
0x000d 2012-03-08T03:29:36GMT 2017-03-07T03:29:36GMT /CN=cdn-gd-zc-ctc-23
0x000e 2012-03-08T03:29:38GMT 2017-03-07T03:29:38GMT /CN=cdn-gs-lz-ctc-6
0x000f 2012-03-08T03:29:40GMT 2017-03-07T03:29:40GMT /CN=cdn-gs-lz-ctc-17
0x0010 2012-03-08T03:29:44GMT 2017-03-07T03:29:44GMT /CN=cdn-gs-lz-ctc-14
0x0011 2012-03-08T03:29:45GMT 2017-03-07T03:29:45GMT /CN=cdn-bj-cnc-38
0x0012 2012-03-08T03:29:45GMT 2017-03-07T03:29:45GMT /CN=cdn-sx-ty2-cnc-8
0x0013 2012-03-08T03:30:01GMT 2017-03-07T03:30:01GMT /CN=cdn-gs-lz-ctc-7
0x0014 2012-03-08T03:30:03GMT 2017-03-07T03:30:03GMT /CN=cdn-gs-lz-ctc-13
0x0015 2012-03-08T03:30:03GMT 2017-03-07T03:30:03GMT /CN=cdn-gs-lz-ctc-25
0x0016 2012-03-08T03:30:03GMT 2017-03-07T03:30:03GMT /CN=cdn-gs-lz-ctc-25
0x0017 2012-03-08T03:30:03GMT 2017-03-07T03:30:03GMT /CN=cdn-gs-lz-ctc-25
0x0018 2012-03-08T03:30:04GMT 2017-03-07T03:30:04GMT /CN=cdn-bj-cnc-41
0x0019 2012-03-08T03:30:04GMT 2017-03-07T03:30:04GMT /CN=cdn-bj-cnc-41
0x001a 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-bj-cnc-41
0x001b 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-gd-zc-ctc-28
0x001c 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-gd-zc-ctc-28
0x001d 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-gs-lz-ctc-24
0x001e 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-gs-lz-ctc-24
0x001f 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-sc-cd-ctc-30
0x0020 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-sc-cd-ctc-30
0x0021 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-bj-cnc-48
0x0022 2012-03-08T03:30:05GMT 2017-03-07T03:30:05GMT /CN=cdn-bj-cnc-48
0x0023 2012-03-08T03:30:06GMT 2017-03-07T03:30:06GMT /CN=cdn-bj-cnc-37
0x0024 2012-03-08T03:30:06GMT 2017-03-07T03:30:06GMT /CN=cdn-bj-cnc-37
0x0025 2012-03-08T03:30:06GMT 2017-03-07T03:30:06GMT /CN=cdn-gd-zc-ctc-29
0x0026 2012-03-08T03:30:06GMT 2017-03-07T03:30:06GMT /CN=cdn-gd-zc-ctc-29
0x0027 2012-03-08T03:30:06GMT 2017-03-07T03:30:06GMT /CN=cdn-sx-ty2-cnc-9
0x0028 2012-03-08T03:30:06GMT 2017-03-07T03:30:06GMT /CN=cdn-sx-ty2-cnc-9
0x0029 2012-03-08T03:30:07GMT 2017-03-07T03:30:07GMT /CN=cdn-gs-lz-ctc-20
0x002a 2012-03-08T03:30:09GMT 2017-03-07T03:30:09GMT /CN=cdn-bj-cnc-47
0x002b 2012-03-08T03:30:09GMT 2017-03-07T03:30:09GMT /CN=cdn-bj-cnc-47
0x002c 2012-03-08T03:30:09GMT 2017-03-07T03:30:09GMT /CN=cdn-gd-zc-ctc-34
0x002d 2012-03-08T03:30:09GMT 2017-03-07T03:30:09GMT /CN=cdn-gd-zc-ctc-34
0x002e 2012-03-08T03:30:12GMT 2017-03-07T03:30:12GMT /CN=cdn-bj-cnc-33
0x002f 2012-03-08T03:30:12GMT 2017-03-07T03:30:12GMT /CN=cdn-sc-cd-ctc-23
0x0030 2012-03-08T03:30:13GMT 2017-03-07T03:30:13GMT /CN=cdn-gd-zc-ctc-33
0x0031 2012-03-08T03:30:13GMT 2017-03-07T03:30:13GMT /CN=cdn-gd-zc-ctc-14
0x0032 2012-03-08T03:30:17GMT 2017-03-07T03:30:17GMT /CN=cdn-sc-cd-ctc-17
0x0033 2012-03-08T03:30:19GMT 2017-03-07T03:30:19GMT /CN=cdn-gd-zc-ctc-24
0x0034 2012-03-08T03:30:19GMT 2017-03-07T03:30:19GMT /CN=cdn-bj-cnc-39
0x0035 2012-03-08T03:30:20GMT 2017-03-07T03:30:20GMT /CN=cdn-bj-cnc-50
